Actual,Prediction
27.0,14.452408
30.0,9.06182
2.0,8.680492
0.0,9.058018
28.0,12.503702
19.0,9.399051
10.0,8.116734
1.0,8.302463
0.0,7.93488
56.0,7.634405
1.0,10.6931505
0.0,10.516505
60.0,10.279086
4.0,7.713326
9.5,9.1246195
15.0,7.795083
6.0,13.738351
14.0,9.384054
20.0,22.30339
6.0,22.730053
23.0,22.091106
2.0,22.29377
0.0,8.243555
7.0,7.5525923
10.0,8.327971
12.0,14.60683
0.0,8.677089
36.0,17.267775
1.0,12.9820795
0.0,9.56203
0.0,8.376157
4.0,11.41305
0.0,9.029243
0.0,13.054929
4.0,9.38643
40.0,9.470247
27.0,7.402985
50.0,23.443338
88.0,8.208132
0.0,8.4606
88.0,8.099163
0.0,7.744852
40.0,8.063919
0.0,10.96459
88.0,12.091975
0.0,8.463139
60.0,8.201513
60.0,11.701445
0.0,9.218229
25.0,8.430469
5.0,9.232346
13.0,10.447308
4.0,13.153212
88.0,11.229734
2.0,20.621305
40.0,12.935025
0.0,8.679057
61.0,8.205709
0.0,11.591729
39.0,9.746867
32.0,6.983908
28.0,8.84901
19.0,24.97248
23.0,8.321439
2.0,10.263853
1.0,8.286095
0.0,7.799632
0.0,9.714102
0.0,9.827575
2.0,9.647461
40.0,9.462759
50.0,6.5978055
12.0,8.185583
12.0,8.698862
0.0,8.29345
5.0,8.084681
0.0,7.443644
0.0,7.605723
35.0,7.4260893
2.0,7.2305684
9.0,8.424907
0.0,7.5886884
0.0,7.948083
60.0,7.4189715
60.0,7.4915676
8.0,8.217246
4.0,8.5883255
0.0,8.275223
70.0,7.771333
100.0,7.279825
0.0,8.42223
30.0,8.02511
1.0,7.1063223
0.0,9.788942
0.0,7.4871006
0.0,6.9814677
0.0,8.839654
0.0,6.926033
0.0,7.607695
10.0,7.773092
1.0,8.970296
0.0,7.935601
49.0,9.283724
0.0,7.723336
6.0,8.450767
0.0,9.193115
0.0,7.9978395
0.0,7.4225955
39.0,9.155992
2.0,8.948186
3.0,8.03613
60.0,5.960612
60.0,5.9156904
15.0,8.131197
0.0,8.099147
88.0,6.423738
0.0,5.735323
0.0,6.530944
0.0,5.7256765
88.0,5.8588247
57.0,5.865495
0.0,8.225612
3.0,8.347722
1.5,5.841743
0.0,7.3525395
0.0,7.2533154
8.0,7.735592
0.0,7.4797525
27.0,7.867703
50.0,7.8827376
17.0,8.127083
6.0,11.210244
66.0,10.672869
10.0,7.6874595
4.0,9.100809
38.0,9.948328
6.0,7.53679
17.0,8.148727
0.0,8.014234
0.0,6.5677814
0.0,7.1410394
37.0,7.451753
