Actual,Prediction
27.0,15.074108
30.0,9.243788
2.0,8.327803
0.0,12.955444
28.0,14.036061
19.0,8.595233
10.0,8.362453
1.0,7.442305
0.0,7.285818
56.0,10.110632
1.0,13.1984825
0.0,10.014709
60.0,12.519815
4.0,9.423151
9.5,10.452938
15.0,10.246056
6.0,14.733448
14.0,14.223699
20.0,18.164978
6.0,21.607206
23.0,18.017466
2.0,16.76022
0.0,8.540115
7.0,8.848541
10.0,11.008576
12.0,15.233467
0.0,11.348504
36.0,17.308853
1.0,9.792971
0.0,9.460081
0.0,9.7101965
4.0,11.708038
0.0,12.001915
0.0,12.153183
4.0,6.3461857
40.0,7.027498
27.0,10.131992
50.0,14.055347
0.0,7.2376237
0.0,6.0310426
40.0,6.665195
0.0,9.752797
0.0,10.060493
60.0,8.249322
60.0,13.656093
0.0,8.582329
25.0,9.509231
5.0,8.48408
13.0,13.070349
4.0,15.0944805
2.0,10.184847
40.0,13.308501
0.0,8.448525
61.0,6.8820314
0.0,10.197492
39.0,6.2434025
32.0,7.823514
28.0,11.835454
19.0,14.016065
23.0,7.7429824
2.0,11.46852
1.0,9.054782
0.0,9.2914715
0.0,10.089336
0.0,9.320098
2.0,8.634315
40.0,7.392728
50.0,9.339211
12.0,10.124656
12.0,10.8208275
0.0,9.75834
5.0,7.578789
0.0,8.210779
0.0,7.4612403
35.0,6.696875
2.0,9.402974
9.0,7.4262223
0.0,9.514708
0.0,7.7124376
60.0,7.959507
60.0,9.264739
8.0,9.264739
4.0,9.270661
0.0,9.630045
70.0,6.7525682
0.0,7.0063267
30.0,5.814571
1.0,8.6243305
0.0,8.230736
0.0,6.1486816
0.0,5.804314
0.0,5.4183655
0.0,8.648634
0.0,8.401523
10.0,8.504909
1.0,7.176057
0.0,6.592195
49.0,6.4567595
0.0,6.394315
6.0,6.559616
0.0,7.766603
0.0,7.619926
0.0,6.480682
39.0,7.045459
2.0,6.2183924
3.0,6.1364684
60.0,5.121017
60.0,6.582687
15.0,5.9756594
0.0,6.4686604
0.0,4.109921
0.0,4.091146
0.0,4.4286647
57.0,9.1433325
0.0,5.7540503
3.0,5.1380615
1.5,5.131912
0.0,5.526528
0.0,6.0207577
8.0,8.646708
0.0,7.579446
27.0,6.345968
50.0,6.77388
17.0,9.396757
6.0,10.156218
66.0,8.71168
10.0,9.424382
4.0,9.7154665
38.0,7.154859
6.0,7.28446
17.0,9.066258
0.0,6.9442434
0.0,4.5971203
0.0,6.694684
37.0,7.9852986
0.0,6.71718
14.0,4.8492155
14.0,7.373309
0.0,6.1255426
0.0,5.7926364
0.0,5.7926364
0.0,5.2072806
0.0,5.5437326
0.0,5.017642
0.0,4.4755754
0.0,5.2914696
0.0,4.895857
0.0,4.1595025
0.0,4.0291696
0.0,5.6258955
30.0,8.211327
0.0,8.364973
0.0,4.6885104
0.0,4.0479445
0.0,4.830481
0.0,5.176422
0.0,4.7241273
0.0,5.298908
1.0,4.5732365
0.0,4.6467853
0.0,4.401141
0.0,7.908255
0.0,5.5476947
0.0,5.1679997
0.0,4.678352
0.0,4.0291696
0.0,4.0291696
0.0,4.676043
0.0,7.201701
0.0,5.7271514
3.0,4.0291696
0.0,7.643975
0.0,5.4771748
0.0,4.019723
1.0,5.4459853
0.0,4.577978
0.0,4.8472476
0.0,6.2637334
1.0,7.324445
12.0,8.3100605
0.0,4.6267776
0.0,4.091146
0.0,4.1387663
0.0,4.484533
0.0,4.62986
0.0,6.9215975
0.0,9.1097
0.0,5.229976
0.0,4.410429
0.0,4.100434
0.0,4.2708354
0.0,4.2708354
0.0,4.0816994
0.0,4.0816994
